chrom	start	end	geneid	genename
1	170904611	171033906	NM_001163629	C1orf129
1	173010359	173020103	NM_005092	TNFSF18
1	175036993	175117202	NM_022093	TNN
1	171810620	172381857	NM_001136127	DNM3
1	170904635	170967946	NM_025063	C1orf129
1	183441505	183523328	NM_001174061	SMG7
1	182419255	182529732	NM_001137669	RGSL1
1	183441505	183523328	NM_201568	SMG7
1	180257351	180472022	NM_032360	ACBD6
1	178062863	178448648	NM_170692	RASAL2
1	183441505	183523328	NM_173156	SMG7
1	177140632	177251558	NM_021165	FAM5B
1	179262848	179327814	NM_001252512	SOAT1
1	179262848	179327814	NM_001252511	SOAT1
1	179262848	179327814	NM_003101	SOAT1
1	183441505	183523328	NM_201569	SMG7
1	179262848	179327814	NR_045530	SOAT1
1	186640943	186649559	NM_000963	PTGS2
1	198126107	198291548	NM_133494	NEK7
1	197122813	197169672	NM_194314	ZBTB41
1	206516199	206629505	NM_001042758	SRGAP2
1	206516199	206637783	NM_015326	SRGAP2
1	206516199	206637783	NM_001170637	SRGAP2
1	202317829	202407370	NM_001167857	PPP1R12B
1	202317829	202407370	NM_001167858	PPP1R12B
1	202317829	202557697	NM_002481	PPP1R12B
1	210501595	210849638	NM_001170564	HHAT
1	216676587	217311097	NM_001134285	ESRRG
1	210502249	210849638	NM_001170587	HHAT
1	212859758	212873327	NM_018664	BATF3
1	210502249	210849638	NM_018194	HHAT
1	210502639	210849638	NM_001170580	HHAT
1	210501595	210849638	NM_001122834	HHAT
1	210502249	210849638	NM_001170588	HHAT
1	216676587	217262987	NM_206595	ESRRG
1	216676587	217262987	NM_206594	ESRRG
1	215796235	216596738	NM_206933	USH2A
1	216676587	217263196	NM_001243505	ESRRG
1	216676587	217250312	NM_001243509	ESRRG
1	216676587	217250312	NM_001243507	ESRRG
1	216676587	217262987	NM_001243506	ESRRG
1	216676587	217113017	NM_001243510	ESRRG
1	216676587	217113017	NM_001243511	ESRRG
1	216676587	217113015	NM_001243513	ESRRG
1	216676587	217113015	NM_001243512	ESRRG
1	225117355	225586996	NM_001373	DNAH14
1	220141941	220220000	NM_004446	EPRS
1	220046618	220292777	NR_002753	RNU5F-1
1	231727037	231747836	NR_034037	LOC100287814
1	231664398	231838307	NR_028399	TSNAX-DISC1
1	231664398	231954990	NR_028398	TSNAX-DISC1
1	228581376	228594517	NM_145214	TRIM11
1	229577043	229644088	NM_018230	NUP133
1	231664398	231954990	NR_028397	TSNAX-DISC1
1	231664398	231954990	NR_028396	TSNAX-DISC1
1	231664398	231954990	NR_028395	TSNAX-DISC1
1	231664398	231954990	NR_028394	TSNAX-DISC1
1	231664398	232177019	NR_028393	TSNAX-DISC1
1	231664398	231886365	NR_028400	TSNAX-DISC1
1	236958580	237067281	NM_000254	MTR
1	238025474	238091619	NR_027247	LOC100130331
1	240938816	241520478	NM_002924	RGS7
1	235824344	236030220	NM_000081	LYST
1	245912641	246580714	NM_022743	SMYD3
1	245912641	246670644	NM_001167740	SMYD3
1	247463621	247495045	NM_032752	ZNF496
1	245318286	245866428	NM_018012	KIF26B
1	248512076	248513015	NM_001001918	OR14C36
1	763063	789740	NR_015368	LOC643837
1	1571099	1655775	NM_033492	CDK11B
1	1571099	1655775	NM_033489	CDK11B
1	1571099	1655775	NM_033493	CDK11B
1	1571099	1655775	NM_033488	CDK11B
1	1571099	1655775	NM_033487	CDK11B
1	1571099	1655775	NM_033486	CDK11B
1	1682670	1709909	NM_023018	NADK
1	1682670	1710297	NM_001198993	NADK
1	1309109	1310818	NM_017900	AURKAIP1
1	1177825	1182102	NM_001014980	FAM132A
1	1682670	1711508	NM_001198994	NADK
1	2487804	2495267	NM_003820	TNFRSF14
1	2160133	2241652	NM_003036	SKI
1	2572806	2706230	NM_001242672	TTC34
1	3668964	3688209	NM_152492	CCDC27
1	3404505	3528059	NM_001409	MEGF6
1	3773844	3801993	NM_004402	DFFB
1	4715104	4843851	NM_018836	AJAP1
1	4715104	4837854	NM_001042478	AJAP1
1	5922869	6052533	NM_015102	NPHP4
1	6086072	6161253	NM_172130	KCNAB2
1	6106173	6161253	NM_001199863	KCNAB2
1	6105980	6161253	NM_001199862	KCNAB2
1	6052357	6161253	NM_001199861	KCNAB2
1	6086072	6161253	NM_003636	KCNAB2
1	6094347	6161253	NM_001199860	KCNAB2
1	6845383	6948261	NM_001242701	CAMTA1
1	6526151	6557484	NM_001042663	PLEKHG5
1	6845383	6948261	NR_038934	CAMTA1
1	6324331	6453826	NM_007274	ACOT7
1	6526151	6580069	NM_198681	PLEKHG5
1	6324331	6445883	NM_181864	ACOT7
1	7844762	7905237	NM_016831	PER3
1	7975930	8003225	NM_001561	TNFRSF9
1	9294862	9331394	NM_004285	H6PD
1	9164475	9189229	NM_024980	GPR157
1	8412463	8877699	NM_012102	RERE
1	8412463	8877699	NM_001042681	RERE
1	9789078	9884550	NM_014944	CLSTN1
1	10270763	10441661	NM_015074	KIF1B
1	10093040	10241296	NM_006048	UBE4B
1	9789078	9884550	NM_001009566	CLSTN1
1	9908333	9970316	NM_020248	CTNNBIP1
1	10093040	10241296	NM_001105562	UBE4B
1	9908333	9970316	NM_001012329	CTNNBIP1
1	10270763	10368655	NM_183416	KIF1B
1	10535002	10690815	NM_004565	PEX14
1	10707269	10856707	NM_017766	CASZ1
1	11006529	11042094	NM_001170754	C1orf127
1	11166587	11322608	NM_004958	MTOR
1	11126675	11159938	NM_002685	EXOSC10
1	10696665	10856707	NM_001079843	CASZ1
1	11126675	11159938	NM_001001998	EXOSC10
1	11796141	11810828	NM_001040194	AGTRAP
1	12185957	12204264	NM_152942	TNFRSF8
1	12290112	12572098	NM_018156	VPS13D
1	12290112	12572098	NM_015378	VPS13D
1	12040237	12073572	NM_001127660	MFN2
1	11796141	11810828	NM_020350	AGTRAP
1	12123433	12204264	NM_001243	TNFRSF8
1	12040237	12073572	NM_014874	MFN2
1	11796141	11810828	NM_001040197	AGTRAP
1	11796141	11810828	NM_001040196	AGTRAP
1	11796141	11810828	NM_001040195	AGTRAP
1	12704565	12727097	NM_001013630	AADACL4
1	15573767	15724622	NM_052929	FHAD1
1	15438310	15478960	NR_027136	C1orf126
1	15256295	15394651	NM_001018001	KAZN
1	15250624	15394651	NM_001018000	KAZN
1	15272414	15394651	NM_001017999	KAZN
1	14925212	15444544	NM_201628	KAZN
1	14925212	15394651	NM_015209	KAZN
1	16174358	16266950	NM_015001	SPEN
1	16576558	16678948	NM_018994	FBXO42
1	15853351	15898228	NM_015291	DNAJC16
1	17017712	17046652	NR_026567	ESPNP
1	17300998	17308081	NM_017459	MFAP2
1	17531620	17572501	NM_013358	PADI1
1	17300998	17307173	NM_001135248	MFAP2
1	17300998	17307173	NM_002403	MFAP2
1	17393255	17445948	NM_007365	PADI2
1	16890411	16939982	NM_017940	NBPF1
1	17300998	17308081	NM_001135247	MFAP2
1	17866329	18024370	NM_018125	ARHGEF10L
1	18081807	18153558	NM_030812	ACTL8
1	17907047	18024370	NM_001011722	ARHGEF10L
1	18434239	18704977	NM_032880	IGSF21
1	19230773	19282826	NM_001136265	IFFO2
1	18957499	19062632	NM_002584	PAX7
1	19665266	19812066	NM_004930	CAPZB
1	19665266	19812066	NM_001206540	CAPZB
1	18957499	19075360	NM_001135254	PAX7
1	19400999	19536746	NM_020765	UBR4
1	18957499	19062632	NM_013945	PAX7
1	19665266	19811201	NR_038125	CAPZB
1	20686293	20755287	NR_033887	LOC339505
1	20008705	20126410	NM_181719	TMCO4
1	21835857	21904905	NM_001177520	ALPL
1	21132784	21437876	NM_003760	EIF4G3
1	21069170	21113181	NM_016287	HP1BP3
1	21543739	21672034	NM_001113348	ECE1
1	21835857	21904905	NM_000478	ALPL
1	21267737	21501251	NM_001198803	EIF4G3
1	21132784	21503381	NM_001198801	EIF4G3
1	21835857	21904905	NM_001127501	ALPL
1	21132784	21503381	NM_001198802	EIF4G3
1	22379119	22419436	NM_001039802	CDC42
1	22148736	22263750	NM_005529	HSPG2
1	22138757	22151714	NM_001013693	LDLRAD2
1	22778343	22857650	NM_001083621	ZBTB40
1	22379119	22417296	NM_044472	CDC42
1	22778343	22857650	NM_014870	ZBTB40
1	22379119	22419436	NM_001791	CDC42
1	23707554	23751261	NM_003196	TCEA3
1	23410515	23495351	NM_033631	LUZP1
1	23410515	23495351	NM_001142546	LUZP1
1	23832919	23857712	NM_004091	E2F2
1	24480646	24513765	NM_170743	IL28RA
1	24742244	24799473	NM_020448	NIPAL3
1	24480646	24513765	NM_173064	IL28RA
1	24480646	24513765	NM_173065	IL28RA
1	24882566	24935818	NM_001010980	C1orf130
1	25943958	26111258	NM_020379	MAN1C1
1	25688739	25747363	NM_138616	RHCE
1	25757387	25826698	NM_018202	TMEM57
1	25688739	25747363	NM_020485	RHCE
1	25688739	25747363	NM_138618	RHCE
1	25688739	25747363	NM_138617	RHCE
1	26856248	26901520	NM_002953	RPS6KA1
1	26737268	26756219	NM_024674	LIN28A
1	26606212	26608013	NM_031286	SH3BGRL3
1	27860755	27930143	NM_001029882	AHDC1
1	27730733	27816678	NM_006990	WASF2
1	27648635	27662891	NM_032125	TMEM222
1	27730733	27816678	NM_001201404	WASF2
1	27648635	27662891	NR_037577	TMEM222
1	27648635	27662891	NR_037576	TMEM222
1	27648635	27662891	NR_037580	TMEM222
1	28929608	28969604	NM_005644	TAF12
1	28832454	28837404	NR_036473	SNHG3
1	28832454	28865708	NR_030725	RCC1
1	28832454	28837404	NR_002909	SNHG3
1	28929608	28969604	NM_001135218	TAF12
1	28832454	28865708	NM_001048199	RCC1
1	28832454	28865708	NR_030726	RCC1
1	28696092	28826881	NM_001048183	PHACTR4
1	29563027	29653325	NM_133177	PTPRU
1	29563027	29653325	NM_133178	PTPRU
1	29563027	29653325	NM_005704	PTPRU
1	29474249	29508637	NM_005626	SRSF4
1	29563027	29653325	NM_001195001	PTPRU
1	31191618	31199593	NR_034182	LOC100129196
1	31184123	31196432	NM_002379	MATN1
1	32372021	32403988	NM_080391	PTP4A2
1	32372021	32385259	NM_001195101	PTP4A2
1	32372021	32385259	NM_001195100	PTP4A2
1	32757707	32799224	NM_004964	HDAC1
1	33004771	33071542	NM_001040441	ZBTB8A
1	32573643	32642168	NM_012316	KPNA6
1	33402049	33430286	NM_153341	RNF19B
1	33283118	33324480	NM_022753	S100PBP
1	33145506	33168361	NM_001161708	SYNC
1	33283042	33324480	NM_001256121	S100PBP
1	33402049	33430286	NM_001127361	RNF19B
1	33145506	33168361	NM_030786	SYNC
1	33789223	33841194	NM_198040	PHC2
1	33938231	33961995	NM_145238	ZSCAN20
1	34334556	34351059	NR_038372	LOC402779
1	36396682	36522063	NM_024852	EIF2C3
1	35734567	35887545	NM_005095	ZMYM4
1	36038970	36060927	NM_178548	TFAP2E
1	36273827	36323490	NM_017629	EIF2C4
1	36396682	36522063	NM_177422	EIF2C3
1	35899090	36023037	NM_024874	KIAA0319L
1	37261127	37499844	NM_000831	GRIK3
1	36805224	36851485	NM_032017	STK40
1	38268613	38273865	NM_024640	YRDC
1	38326368	38412729	NM_005540	INPP5B
1	38002141	38019903	NM_024700	SNIP1
1	39305014	39325340	NM_022157	RRAGC
1	40627040	40706593	NM_012421	RLF
1	40223902	40254533	NM_001720	BMP8B
1	39957317	39995541	NM_181809	BMP8A
1	41492870	41625605	NM_001172222	SCMH1
1	41492870	41628689	NM_001172221	SCMH1
1	41492870	41707815	NM_001172220	SCMH1
1	41492870	41707815	NM_001172219	SCMH1
1	41492870	41707815	NM_001172218	SCMH1
1	41249683	41306124	NM_004700	KCNQ4
1	41249683	41306124	NM_172163	KCNQ4
1	41154751	41157933	NR_024567	LOC100130557
1	41492870	41707815	NM_012236	SCMH1
1	41492870	41627104	NM_001031694	SCMH1
1	41972035	42384378	NM_024503	HIVEP3
1	42642209	42801548	NM_001198850	FOXJ3
1	42642209	42800886	NM_001198852	FOXJ3
1	42846467	42889900	NM_173642	RIMKLA
1	41972035	42384378	NM_001127714	HIVEP3
1	42642209	42800636	NM_001198851	FOXJ3
1	42642209	42800903	NM_014947	FOXJ3
1	42312859	42501596	NR_038261	HIVEP3
1	42312859	42384496	NR_038260	HIVEP3
1	43855555	43919918	NM_015284	SZT2
1	43766565	43788781	NM_001253357	TIE1
1	43638000	43720029	NM_001195831	WDR65
1	43638000	43676549	NM_001167965	WDR65
1	43638000	43676549	NM_152498	WDR65
1	43253660	43263901	NM_001242750	LOC100129924
1	43766565	43788781	NM_005424	TIE1
1	44173217	44396831	NM_174963	ST3GAL3
1	44173217	44396831	NM_174968	ST3GAL3
1	44173217	44396831	NM_174967	ST3GAL3
1	44412477	44433694	NM_014652	IPO13
1	44165408	44173012	NR_033827	LOC100132774
1	44173217	44396831	NM_174965	ST3GAL3
1	44173217	44396831	NM_174964	ST3GAL3
1	44173217	44396831	NM_174971	ST3GAL3
1	44173217	44396831	NM_174970	ST3GAL3
1	44173217	44396831	NM_174969	ST3GAL3
1	44686741	44820939	NM_024066	ERI3
1	44173217	44396831	NM_174966	ST3GAL3
1	44173217	44396831	NM_006279	ST3GAL3
1	45482075	45672250	NM_020883	ZSWIM5
1	45316193	45452361	NM_020365	EIF2B3
1	45340191	45452361	NM_001166588	EIF2B3
1	45809554	45956840	NM_007170	TESK2
1	45205489	45233438	NM_006845	KIF2C
1	46654352	46664121	NM_017739	POMGNT1
1	46654352	46685977	NM_001243766	POMGNT1
1	46505811	46598380	NM_003629	PIK3R3
1	46269284	46501796	NM_015112	MAST2
1	46505811	46598708	NM_001114172	PIK3R3
1	47023078	47069966	NM_003684	MKNK1
1	47023078	47069966	NM_001135553	MKNK1
1	47023078	47069966	NR_024176	MKNK1
1	47023078	47069966	NR_024174	MKNK1
1	47023078	47069966	NM_198973	MKNK1
1	47533159	47583992	NM_178134	CYP4Z1
1	47799468	47844511	NM_016308	CMPK1
1	47799468	47844511	NM_001136140	CMPK1
1	47799468	47844511	NR_046394	CMPK1
1	48567386	48648100	NR_026749	SKINTL
1	48761043	48937876	NM_019073	SPATA6
1	50574593	50667540	NM_021952	ELAVL4
1	50513685	50667540	NM_001144777	ELAVL4
1	50569581	50667540	NM_001144776	ELAVL4
1	50571963	50667540	NM_001144775	ELAVL4
1	50574593	50667540	NM_001144774	ELAVL4
1	52082545	52254891	NM_148909	OSBPL9
1	51752929	51810785	NM_001144832	TTC39A
1	52082545	52254891	NM_024586	OSBPL9
1	52082545	52254891	NM_148908	OSBPL9
1	52082545	52254891	NM_148906	OSBPL9
1	52254865	52344609	NM_002525	NRD1
1	51819934	51984995	NM_001981	EPS15
1	52254865	52344609	NM_001101662	NRD1
1	51752929	51787938	NM_001080494	TTC39A
1	52082545	52254891	NR_036662	OSBPL9
1	52254865	52343712	NM_001242361	NRD1
1	52888947	53018762	NM_015269	ZCCHC11
1	52608045	52812358	NM_007324	ZFYVE9
1	52608045	52729719	NM_007323	ZFYVE9
1	52608045	52812358	NM_004799	ZFYVE9
1	53192130	53293013	NM_024646	ZYG11B
1	53308182	53360247	NM_001004339	ZYG11A
1	52888947	53018762	NM_001009881	ZCCHC11
1	52816264	52831877	NM_032449	CC2D1B
1	53708040	53793821	NM_004631	LRP8
1	54387233	54411288	NM_016126	HSPB11
1	53708040	53793821	NM_001018054	LRP8
1	53971905	54199877	NM_147193	GLIS1
1	54231133	54304225	NM_001168551	TMEM48
1	53708040	53793821	NM_017522	LRP8
1	53708040	53793821	NM_033300	LRP8
1	54231133	54304225	NM_018087	TMEM48
1	54231133	54304225	NR_033142	TMEM48
1	55107426	55208328	NR_037640	HEATR8-TTC4
1	55107426	55208328	NR_037641	HEATR8-TTC4
1	55107426	55208328	NR_037639	HEATR8-TTC4
1	55013806	55076005	NM_147161	ACOT11
1	55013806	55100417	NM_015547	ACOT11
1	54692194	54871979	NM_018070	SSBP3
1	54692194	54871979	NM_145716	SSBP3
1	54638026	54665746	NM_001031672	CYB5RL
1	54692194	54872092	NM_001009955	SSBP3
1	57110989	57181008	NM_006252	PRKAA2
1	56960418	57045257	NM_003713	PPAP2B
1	57394882	57431688	NM_000066	C8B
1	57184476	57285369	NM_001004303	C1orf168
1	58946390	59012446	NM_145243	OMA1
1	60280532	60342050	NM_015888	HOOK1
1	59775749	60228402	NM_001244714	FGGY
1	62208148	62629591	NM_176877	INADL
1	62701836	62785083	NM_181712	KANK4
1	63249776	63330941	NM_032852	ATG4C
1	62920396	63153969	NM_033407	DOCK7
1	63249776	63330941	NM_178221	ATG4C
1	63624753	63782901	NR_038252	LINC00466
1	64058946	64125916	NM_002633	PGM1
1	64239689	64644707	NM_005012	ROR1
1	64239689	64609052	NM_001083592	ROR1
1	64059479	64125916	NM_001172819	PGM1
1	64088886	64125916	NM_001172818	PGM1
1	65298905	65432187	NM_002227	JAK1
1	65210777	65298914	NM_018211	RAVER2
1	65613231	65697828	NM_203464	AK4
1	65613849	65697828	NM_013410	AK4
1	65613512	65697828	NM_001005353	AK4
1	65730376	65881552	NM_001256865	DNAJC6
1	65730376	65881552	NM_014787	DNAJC6
1	65775217	65881552	NM_001256864	DNAJC6
1	66258192	66840262	NM_001037341	PDE4B
1	66258855	66840262	NM_002600	PDE4B
1	66458389	66840262	NM_001037340	PDE4B
1	67465014	67520080	NM_015139	SLC35D1
1	67632168	67725650	NM_144701	IL23R
1	67278571	67390570	NM_024763	WDR78
1	67218139	67244730	NM_152665	TCTEX1D1
1	67303281	67390570	NM_207014	WDR78
1	67873492	67896123	NM_015640	SERBP1
1	67873492	67896123	NM_001018069	SERBP1
1	67873492	67896123	NM_001018068	SERBP1
1	67873492	67896123	NM_001018067	SERBP1
1	68939834	68962799	NM_001114120	DEPDC1
1	68167148	68299155	NM_018841	GNG12
1	68591040	68698229	NM_001193334	WLS
1	68591040	68698284	NM_024911	WLS
1	68939834	68962799	NM_017779	DEPDC1
1	68564141	68698229	NM_001002292	WLS
1	68297970	68668670	NR_040077	LOC100289178
1	70385004	70386000	NR_023916	PIN1P1
1	70610484	70671361	NM_017768	LRRC40
1	70724684	70820417	NM_030816	ANKRD13C
1	71418114	71513491	NM_198718	PTGER3
1	71318035	71513491	NM_198717	PTGER3
1	71318035	71513491	NM_198716	PTGER3
1	71318035	71513491	NM_198714	PTGER3
1	71318035	71513491	NR_028294	PTGER3
1	71318035	71513491	NR_028292	PTGER3
1	71418114	71513491	NM_001126044	PTGER3
1	71318035	71513491	NR_028293	PTGER3
1	71547006	71703406	NR_046217	ZRANB2-AS2
1	74701070	75010116	NM_015978	TNNI3K
1	74663895	75010116	NM_001112808	FPGT-TNNI3K
1	74663895	74930609	NM_001199327	FPGT-TNNI3K
1	74491701	74663871	NM_001105659	LRRIQ3
1	75033794	75139422	NM_001002912	C1orf173
1	75672074	76076799	NM_152697	SLC44A5
1	75667815	76076799	NM_001130058	SLC44A5
1	76262555	76378923	NM_002440	MSH4
1	77333185	77529737	NM_030965	ST6GALNAC5
1	78030189	78148343	NM_015534	ZZZ3
1	77748286	78025654	NM_012093	AK5
1	78511588	78603112	NM_017655	GIPC2
1	78354199	78409578	NM_144573	NEXN
1	78354199	78409578	NM_001172309	NEXN
1	78245308	78344081	NM_198549	FAM73A
1	77747661	78025654	NM_174858	AK5
1	79355448	79472495	NM_022159	ELTD1
1	78695282	78835147	NR_027310	MGC27382
1	82266081	82458107	NM_012302	LPHN2
1	84764048	84816481	NM_001010971	SAMD13
1	84630064	84704181	NM_001242857	PRKACB
1	84543744	84704181	NM_002731	PRKACB
1	84609951	84704181	NM_182948	PRKACB
1	84630064	84704181	NM_001242858	PRKACB
1	84647342	84704181	NM_001242862	PRKACB
1	84630648	84704181	NM_001242861	PRKACB
1	84630648	84704181	NM_001242860	PRKACB
1	84630064	84704181	NM_001242859	PRKACB
1	84335056	84464833	NM_024686	TTLL7
1	84768333	84816481	NM_001134664	SAMD13
1	84767288	84816481	NM_001134663	SAMD13
1	85715636	85725355	NM_198077	C1orf52
1	85715636	85725355	NR_024113	C1orf52
1	85527992	85598821	NM_145172	WDR63
1	85391265	85462796	NM_153259	MCOLN2
1	85784167	85930889	NM_012137	DDAH1
1	85279085	85358896	NM_012152	LPAR3
1	86889768	86922240	NM_006536	CLCA2
1	86194915	86622121	NM_152890	COL24A1
1	87380334	87564125	NM_001134492	HS2ST1
1	87380334	87575681	NM_012262	HS2ST1
1	90024271	90063420	NM_015350	LRRC8B
1	89149921	89301938	NM_006256	PKN2
1	89646830	89664633	NM_052941	GBP4
1	89517986	89531043	NM_002053	GBP1
1	89990396	90063420	NM_001134476	LRRC8B
1	90286572	90401989	NM_001134479	LRRC8D
1	90287479	90401989	NM_018103	LRRC8D
1	91726322	91870426	NM_001017975	HFM1
1	92974252	93257961	NM_005665	EVI5
1	92764521	92853732	NM_024813	RPAP2
1	93544791	93604638	NM_001164391	MTF2
1	94027348	94147385	NM_003567	BCAR3
1	93646280	93744287	NM_206886	CCDC18
1	93544791	93604638	NM_001164392	MTF2
1	93544791	93604638	NM_001164393	MTF2
1	93544791	93604638	NM_007358	MTF2
1	93913687	94020218	NM_017737	FNBP1L
1	93913687	94020218	NM_001164473	FNBP1L
1	93913687	94020218	NM_001024948	FNBP1L
1	94458393	94586705	NM_000350	ABCA4
1	94883932	94984219	NM_002858	ABCD3
1	95285900	95360802	NM_001114106	SLC44A3
1	95286099	95360802	NM_152369	SLC44A3
1	94883932	94944260	NM_001122674	ABCD3
1	95940292	95944912	NR_033966	FLJ31662
1	95583478	95710509	NM_001199691	TMEM56-RWDD3
1	97187174	97280605	NM_021190	PTBP2
1	97543299	98386615	NM_000110	DPYD
1	98185313	98386615	NM_001160301	DPYD
1	99469831	99614408	NR_033940	LOC100129620
1	98676266	98738214	NR_046088	LOC729987
1	99127235	99226056	NR_033716	SNX7
1	99127235	99226056	NM_015976	SNX7
1	99127235	99226056	NM_152238	SNX7
1	99729847	99775138	NM_001166252	LPPR4
1	100503788	100548929	NM_033055	HIAT1
1	100111430	100160097	NM_017734	PALMD
1	99729847	99775138	NM_014839	LPPR4
1	100818022	100965021	NM_033312	CDC14A
1	100818022	100985833	NM_003672	CDC14A
1	101185195	101204601	NM_001199834	VCAM1
1	101185195	101204601	NM_080682	VCAM1
1	101185195	101204601	NM_001078	VCAM1
1	100818022	100950926	NM_033313	CDC14A
1	102268126	102462790	NM_058170	OLFM3
1	103342022	103574052	NM_001854	COL11A1
